Adım 1: Hücre(0,0) = 3
Adım 2: Hücre(0,1) = 4
Adım 3: Hücre(0,3) = 1
Adım 4: Hücre(0,4) = 5
Adım 5: Hücre(0,5) = 6
Adım 6: Hücre(0,6) = 8
Adım 7: Hücre(0,7) = 7
Adım 8: Hücre(1,3) = 2
Adım 9: Hücre(1,4) = 4
Adım 10: Hücre(1,5) = 3
Adım 11: Hücre(1,6) = 1
Adım 12: Hücre(1,7) = 6
Adım 12: Hücre(1,7) sıfırlandı.
Adım 12: Hücre(1,6) sıfırlandı.
Adım 13: Hücre(1,6) = 6
Adım 14: Hücre(1,7) = 1
Adım 14: Hücre(1,7) sıfırlandı.
Adım 14: Hücre(1,6) sıfırlandı.
Adım 14: Hücre(1,5) sıfırlandı.
Adım 14: Hücre(1,4) sıfırlandı.
Adım 15: Hücre(1,4) = 9
Adım 16: Hücre(1,5) = 3
Adım 17: Hücre(1,6) = 1
Adım 18: Hücre(1,7) = 6
Adım 19: Hücre(1,8) = 4
Adım 20: Hücre(2,0) = 2
Adım 21: Hücre(2,1) = 6
Adım 22: Hücre(2,3) = 4
Adım 23: Hücre(2,4) = 7
Adım 24: Hücre(2,5) = 8
Adım 25: Hücre(2,7) = 5
Adım 26: Hücre(3,0) = 5
Adım 27: Hücre(3,1) = 2
Adım 28: Hücre(3,2) = 3
Adım 29: Hücre(3,3) = 6
Adım 30: Hücre(3,4) = 4
Adım 31: Hücre(3,5) = 1
Adım 32: Hücre(3,7) = 8
Adım 32: Hücre(3,7) sıfırlandı.
Adım 32: Hücre(3,5) sıfırlandı.
Adım 32: Hücre(3,4) sıfırlandı.
Adım 32: Hücre(3,3) sıfırlandı.
Adım 33: Hücre(3,3) = 9
Adım 34: Hücre(3,4) = 4
Adım 35: Hücre(3,5) = 1
Adım 36: Hücre(3,7) = 8
Adım 36: Hücre(3,7) sıfırlandı.
Adım 36: Hücre(3,5) sıfırlandı.
Adım 36: Hücre(3,4) sıfırlandı.
Adım 37: Hücre(3,4) = 6
Adım 38: Hücre(3,5) = 1
Adım 39: Hücre(3,7) = 8
Adım 39: Hücre(3,7) sıfırlandı.
Adım 39: Hücre(3,5) sıfırlandı.
Adım 40: Hücre(3,5) = 4
Adım 41: Hücre(3,7) = 1
Adım 42: Hücre(3,8) = 8
Adım 43: Hücre(4,0) = 6
Adım 43: Hücre(4,0) sıfırlandı.
Adım 43: Hücre(3,8) sıfırlandı.
Adım 43: Hücre(3,7) sıfırlandı.
Adım 44: Hücre(3,7) = 8
Adım 45: Hücre(3,8) = 1
Adım 46: Hücre(4,0) = 6
Adım 46: Hücre(4,0) sıfırlandı.
Adım 46: Hücre(3,8) sıfırlandı.
Adım 46: Hücre(3,7) sıfırlandı.
Adım 46: Hücre(3,5) sıfırlandı.
Adım 46: Hücre(3,4) sıfırlandı.
Adım 46: Hücre(3,3) sıfırlandı.
Adım 46: Hücre(3,2) sıfırlandı.
Adım 47: Hücre(3,2) = 4
Adım 48: Hücre(3,3) = 3
Adım 49: Hücre(3,4) = 6
Adım 50: Hücre(3,5) = 1
Adım 51: Hücre(3,7) = 8
Adım 51: Hücre(3,7) sıfırlandı.
Adım 51: Hücre(3,5) sıfırlandı.
Adım 51: Hücre(3,4) sıfırlandı.
Adım 51: Hücre(3,3) sıfırlandı.
Adım 52: Hücre(3,3) = 6
Adım 52: Hücre(3,3) sıfırlandı.
Adım 53: Hücre(3,3) = 9
Adım 54: Hücre(3,4) = 6
Adım 55: Hücre(3,5) = 1
Adım 56: Hücre(3,7) = 3
Adım 57: Hücre(3,8) = 8
Adım 58: Hücre(4,0) = 6
Adım 59: Hücre(4,1) = 3
Adım 60: Hücre(4,2) = 8
Adım 61: Hücre(4,4) = 2
Adım 62: Hücre(4,6) = 4
Adım 63: Hücre(4,8) = 1
Adım 64: Hücre(5,1) = 9
Adım 65: Hücre(5,2) = 7
Adım 66: Hücre(5,4) = 4
Adım 66: Hücre(5,4) sıfırlandı.
Adım 66: Hücre(5,2) sıfırlandı.
Adım 66: Hücre(5,1) sıfırlandı.
Adım 66: Hücre(4,8) sıfırlandı.
Adım 66: Hücre(4,6) sıfırlandı.
Adım 66: Hücre(4,4) sıfırlandı.
Adım 67: Hücre(4,4) = 4
Adım 68: Hücre(4,6) = 2
Adım 69: Hücre(4,8) = 1
Adım 70: Hücre(5,1) = 9
Adım 71: Hücre(5,2) = 7
Adım 72: Hücre(5,4) = 2
Adım 72: Hücre(5,4) sıfırlandı.
Adım 72: Hücre(5,2) sıfırlandı.
Adım 72: Hücre(5,1) sıfırlandı.
Adım 72: Hücre(4,8) sıfırlandı.
Adım 72: Hücre(4,6) sıfırlandı.
Adım 72: Hücre(4,4) sıfırlandı.
Adım 72: Hücre(4,2) sıfırlandı.
Adım 72: Hücre(4,1) sıfırlandı.
Adım 72: Hücre(4,0) sıfırlandı.
Adım 72: Hücre(3,8) sıfırlandı.
Adım 72: Hücre(3,7) sıfırlandı.
Adım 73: Hücre(3,7) = 8
Adım 74: Hücre(3,8) = 3
Adım 75: Hücre(4,0) = 6
Adım 76: Hücre(4,1) = 3
Adım 77: Hücre(4,2) = 8
Adım 78: Hücre(4,4) = 2
Adım 79: Hücre(4,6) = 4
Adım 80: Hücre(4,8) = 1
Adım 81: Hücre(5,1) = 9
Adım 82: Hücre(5,2) = 7
Adım 83: Hücre(5,4) = 4
Adım 83: Hücre(5,4) sıfırlandı.
Adım 83: Hücre(5,2) sıfırlandı.
Adım 83: Hücre(5,1) sıfırlandı.
Adım 83: Hücre(4,8) sıfırlandı.
Adım 83: Hücre(4,6) sıfırlandı.
Adım 83: Hücre(4,4) sıfırlandı.
Adım 84: Hücre(4,4) = 4
Adım 85: Hücre(4,6) = 2
Adım 86: Hücre(4,8) = 1
Adım 87: Hücre(5,1) = 9
Adım 88: Hücre(5,2) = 7
Adım 89: Hücre(5,4) = 2
Adım 89: Hücre(5,4) sıfırlandı.
Adım 89: Hücre(5,2) sıfırlandı.
Adım 89: Hücre(5,1) sıfırlandı.
Adım 89: Hücre(4,8) sıfırlandı.
Adım 89: Hücre(4,6) sıfırlandı.
Adım 89: Hücre(4,4) sıfırlandı.
Adım 89: Hücre(4,2) sıfırlandı.
Adım 89: Hücre(4,1) sıfırlandı.
Adım 89: Hücre(4,0) sıfırlandı.
Adım 89: Hücre(3,8) sıfırlandı.
Adım 89: Hücre(3,7) sıfırlandı.
Adım 89: Hücre(3,5) sıfırlandı.
Adım 89: Hücre(3,4) sıfırlandı.
Adım 89: Hücre(3,3) sıfırlandı.
Adım 89: Hücre(3,2) sıfırlandı.
Adım 90: Hücre(3,2) = 6
Adım 91: Hücre(3,3) = 3
Adım 92: Hücre(3,4) = 4
Adım 93: Hücre(3,5) = 1
Adım 94: Hücre(3,7) = 8
Adım 94: Hücre(3,7) sıfırlandı.
Adım 94: Hücre(3,5) sıfırlandı.
Adım 94: Hücre(3,4) sıfırlandı.
Adım 94: Hücre(3,3) sıfırlandı.
Adım 95: Hücre(3,3) = 9
Adım 96: Hücre(3,4) = 4
Adım 97: Hücre(3,5) = 1
Adım 98: Hücre(3,7) = 3
Adım 99: Hücre(3,8) = 8
Adım 99: Hücre(3,8) sıfırlandı.
Adım 99: Hücre(3,7) sıfırlandı.
Adım 100: Hücre(3,7) = 8
Adım 101: Hücre(3,8) = 3
Adım 101: Hücre(3,8) sıfırlandı.
Adım 101: Hücre(3,7) sıfırlandı.
Adım 101: Hücre(3,5) sıfırlandı.
Adım 101: Hücre(3,4) sıfırlandı.
Adım 101: Hücre(3,3) sıfırlandı.
Adım 101: Hücre(3,2) sıfırlandı.
Adım 102: Hücre(3,2) = 8
Adım 103: Hücre(3,3) = 3
Adım 104: Hücre(3,4) = 4
Adım 105: Hücre(3,5) = 1
Adım 105: Hücre(3,5) sıfırlandı.
Adım 105: Hücre(3,4) sıfırlandı.
Adım 106: Hücre(3,4) = 6
Adım 107: Hücre(3,5) = 1
Adım 107: Hücre(3,5) sıfırlandı.
Adım 108: Hücre(3,5) = 4
Adım 109: Hücre(3,7) = 1
Adım 109: Hücre(3,7) sıfırlandı.
Adım 109: Hücre(3,5) sıfırlandı.
Adım 109: Hücre(3,4) sıfırlandı.
Adım 109: Hücre(3,3) sıfırlandı.
